Ses01F_impro03_M002.txt	Nan = 57	Total_frame = 397	Error = 14.4%
Ses01F_impro03_M017.txt	Nan = 1	Total_frame = 320	Error = 0.3%
Ses01F_impro03_M018.txt	Nan = 0	Total_frame = 172	Error = 0.0%
Ses01F_impro05_M032.txt	Nan = 0	Total_frame = 748	Error = 0.0%
Ses01F_impro05_M033.txt	Nan = 0	Total_frame = 799	Error = 0.0%
Ses01F_script01_1_F002.txt	Nan = 0	Total_frame = 628	Error = 0.0%
Ses01F_script01_3_M014.txt	Nan = 128	Total_frame = 388	Error = 33.0%
Ses01F_script02_1_F003.txt	Nan = 0	Total_frame = 236	Error = 0.0%
Ses01F_script02_1_M030.txt	Nan = 0	Total_frame = 178	Error = 0.0%
Ses01F_script02_2_F037.txt	Nan = 0	Total_frame = 885	Error = 0.0%
Ses01F_script02_2_F038.txt	Nan = 0	Total_frame = 414	Error = 0.0%
Ses01F_script02_2_M039.txt	Nan = 0	Total_frame = 201	Error = 0.0%
Ses01M_impro02_F002.txt	Nan = 154	Total_frame = 373	Error = 41.3%
Ses01M_impro03_F001.txt	Nan = 0	Total_frame = 155	Error = 0.0%
Ses01M_impro07_M021.txt	Nan = 265	Total_frame = 265	Error = 100.0%
Ses01M_impro07_M022.txt	Nan = 329	Total_frame = 360	Error = 91.4%
Ses01M_script01_1_F001.txt	Nan = 0	Total_frame = 266	Error = 0.0%
Ses01M_script01_1_F002.txt	Nan = 0	Total_frame = 556	Error = 0.0%
Ses01M_script01_1_F003.txt	Nan = 0	Total_frame = 464	Error = 0.0%
Ses01M_script01_1_F010.txt	Nan = 0	Total_frame = 268	Error = 0.0%
Ses01M_script01_1_F034.txt	Nan = 0	Total_frame = 308	Error = 0.0%
Ses01M_script02_1_F002.txt	Nan = 202	Total_frame = 236	Error = 85.6%
Ses01M_script02_2_F038.txt	Nan = 0	Total_frame = 977	Error = 0.0%
Ses01M_script02_2_F039.txt	Nan = 437	Total_frame = 574	Error = 76.1%
Ses01M_script03_2_F003.txt	Nan = 153	Total_frame = 549	Error = 27.9%
Ses02F_impro01_F001.txt	Nan = 0	Total_frame = 395	Error = 0.0%
Ses02F_impro03_M002.txt	Nan = 0	Total_frame = 405	Error = 0.0%
Ses02F_impro03_M006.txt	Nan = 0	Total_frame = 202	Error = 0.0%
Ses02F_impro03_M007.txt	Nan = 0	Total_frame = 457	Error = 0.0%
Ses02F_impro05_F002.txt	Nan = 44	Total_frame = 315	Error = 14.0%
Ses02F_impro05_F003.txt	Nan = 33	Total_frame = 552	Error = 6.0%
Ses02F_impro05_F005.txt	Nan = 0	Total_frame = 1885	Error = 0.0%
Ses02F_script01_1_F035.txt	Nan = 0	Total_frame = 230	Error = 0.0%
Ses02F_script02_2_M039.txt	Nan = 0	Total_frame = 143	Error = 0.0%
Ses02M_impro05_M004.txt	Nan = 0	Total_frame = 344	Error = 0.0%
Ses02M_impro06_F001.txt	Nan = 0	Total_frame = 602	Error = 0.0%
Ses02M_impro07_F002.txt	Nan = 67	Total_frame = 475	Error = 14.1%
Ses02M_impro08_F020.txt	Nan = 0	Total_frame = 141	Error = 0.0%
Ses02M_script01_3_M004.txt	Nan = 0	Total_frame = 289	Error = 0.0%
Ses02M_script01_3_M013.txt	Nan = 0	Total_frame = 311	Error = 0.0%
Ses02M_script02_1_M022.txt	Nan = 0	Total_frame = 177	Error = 0.0%
Ses02M_script02_1_M030.txt	Nan = 0	Total_frame = 146	Error = 0.0%
Ses03F_impro02_M004.txt	Nan = 0	Total_frame = 164	Error = 0.0%
Ses03F_impro02_M005.txt	Nan = 0	Total_frame = 520	Error = 0.0%
Ses03F_impro03_M009.txt	Nan = 0	Total_frame = 183	Error = 0.0%
Ses03F_impro04_F011.txt	Nan = 0	Total_frame = 191	Error = 0.0%
Ses03F_impro07_F003.txt	Nan = 0	Total_frame = 469	Error = 0.0%
Ses03F_impro07_M009.txt	Nan = 0	Total_frame = 199	Error = 0.0%
Ses03F_impro07_M017.txt	Nan = 0	Total_frame = 284	Error = 0.0%
Ses03F_impro07_M018.txt	Nan = 0	Total_frame = 959	Error = 0.0%
Ses03F_script01_3_M017.txt	Nan = 0	Total_frame = 308	Error = 0.0%
Ses03F_script02_1_M018.txt	Nan = 0	Total_frame = 880	Error = 0.0%
Ses03F_script02_1_M030.txt	Nan = 0	Total_frame = 271	Error = 0.0%
Ses03F_script02_2_M037.txt	Nan = 0	Total_frame = 305	Error = 0.0%
Ses03M_impro02_F004.txt	Nan = 0	Total_frame = 520	Error = 0.0%
Ses03M_impro02_F005.txt	Nan = 0	Total_frame = 217	Error = 0.0%
Ses03M_impro02_M032.txt	Nan = 0	Total_frame = 283	Error = 0.0%
Ses03M_impro02_M033.txt	Nan = 0	Total_frame = 505	Error = 0.0%
Ses03M_impro03_F002.txt	Nan = 0	Total_frame = 1294	Error = 0.0%
Ses03M_impro03_F028.txt	Nan = 0	Total_frame = 248	Error = 0.0%
Ses03M_impro03_F029.txt	Nan = 0	Total_frame = 263	Error = 0.0%
Ses03M_impro03_F030.txt	Nan = 0	Total_frame = 893	Error = 0.0%
Ses03M_impro04_F005.txt	Nan = 0	Total_frame = 531	Error = 0.0%
Ses03M_impro04_F026.txt	Nan = 0	Total_frame = 714	Error = 0.0%
Ses03M_impro07_F003.txt	Nan = 0	Total_frame = 727	Error = 0.0%
Ses03M_impro07_F004.txt	Nan = 0	Total_frame = 350	Error = 0.0%
Ses03M_impro07_F005.txt	Nan = 104	Total_frame = 847	Error = 12.3%
Ses03M_script01_1_F001.txt	Nan = 0	Total_frame = 617	Error = 0.0%
Ses03M_script01_1_F002.txt	Nan = 0	Total_frame = 266	Error = 0.0%
Ses03M_script01_3_M002.txt	Nan = 0	Total_frame = 267	Error = 0.0%
Ses04F_impro03_M002.txt	Nan = 0	Total_frame = 311	Error = 0.0%
Ses04F_impro05_F007.txt	Nan = 97	Total_frame = 238	Error = 40.8%
Ses04F_impro07_M002.txt	Nan = 0	Total_frame = 136	Error = 0.0%
Ses04F_impro07_M003.txt	Nan = 74	Total_frame = 150	Error = 49.3%
Ses04F_script01_1_F001.txt	Nan = 25	Total_frame = 516	Error = 4.8%
Ses04F_script01_1_F009.txt	Nan = 181	Total_frame = 219	Error = 82.6%
Ses04F_script02_1_M006.txt	Nan = 140	Total_frame = 165	Error = 84.8%
Ses04F_script02_1_M028.txt	Nan = 0	Total_frame = 223	Error = 0.0%
Ses04F_script02_2_M042.txt	Nan = 0	Total_frame = 224	Error = 0.0%
Ses04M_impro04_F010.txt	Nan = 0	Total_frame = 158	Error = 0.0%
Ses04M_impro07_F000.txt	Nan = 0	Total_frame = 179	Error = 0.0%
Ses04M_impro07_F001.txt	Nan = 0	Total_frame = 135	Error = 0.0%
Ses04M_impro08_F019.txt	Nan = 0	Total_frame = 165	Error = 0.0%
Ses04M_impro08_F021.txt	Nan = 0	Total_frame = 266	Error = 0.0%
Ses04M_impro08_F025.txt	Nan = 0	Total_frame = 373	Error = 0.0%
Ses04M_script01_1_F002.txt	Nan = 0	Total_frame = 219	Error = 0.0%
Ses04M_script01_1_F008.txt	Nan = 121	Total_frame = 211	Error = 57.3%
Ses04M_script02_1_M024.txt	Nan = 221	Total_frame = 221	Error = 100.0%
Ses04M_script02_2_M038.txt	Nan = 0	Total_frame = 236	Error = 0.0%
Ses05F_impro02_M019.txt	Nan = 376	Total_frame = 506	Error = 74.3%
Ses05F_impro02_M039.txt	Nan = 313	Total_frame = 480	Error = 65.2%
Ses05F_impro03_M002.txt	Nan = 163	Total_frame = 163	Error = 100.0%
Ses05F_impro08_M024.txt	Nan = 119	Total_frame = 136	Error = 87.5%
Ses05F_script01_3_M002.txt	Nan = 183	Total_frame = 183	Error = 100.0%
Ses05F_script02_1_M025.txt	Nan = 164	Total_frame = 170	Error = 96.5%
Ses05M_impro02_F001.txt	Nan = 186	Total_frame = 216	Error = 86.1%
Ses05M_impro02_F008.txt	Nan = 119	Total_frame = 119	Error = 100.0%
Ses05M_impro03_F001.txt	Nan = 22	Total_frame = 266	Error = 8.3%
Ses05M_impro05_M008.txt	Nan = 93	Total_frame = 139	Error = 66.9%
Ses05M_impro08_F021.txt	Nan = 0	Total_frame = 345	Error = 0.0%
Ses05M_script01_1_F031.txt	Nan = 242	Total_frame = 242	Error = 100.0%
Ses05M_script01_3_M002.txt	Nan = 168	Total_frame = 205	Error = 82.0%
Ses05M_script01_3_M012.txt	Nan = 217	Total_frame = 238	Error = 91.2%
Ses05M_script01_3_M018.txt	Nan = 231	Total_frame = 231	Error = 100.0%
Ses05M_script02_2_M033.txt	Nan = 200	Total_frame = 200	Error = 100.0%
Average: 20.9%
